F1 - Bug ID,C1 - Commit revision hash,C3 - # Files changed,XC1 - Files found / Files expected,XC2 - Files found,XC3 - Files not found,XC4 - Files expected,XC5 - Lines added,XC6 - Lines deleted,C7 - Committer type,C4 - Commit file bugginess,C5 - Commit total line bugginess,C6 - Commit file line bugginess
NOVA 1453274 - CG,c363dae6a2b878db6801b502cced1fcc6aad2d0c,3,0/0,0,,,133,4,peripheral,,,
NOVA 1466390,501ff418df4c08e52a697772200aa08dd67a4a43,7,1/1,nova/db/sqlalchemy/api.py,,nova/db/sqlalchemy/api.py,1064,0,core,0.14285714285714285,0.33270676691729323,0.06385281385281386
NOVA 1466390 - CG,fa6c2d4def22f0ddd296572d9ce5b3b6f7267e2f,2,0/0,0,,,58,11,peripheral,,,
NOVA 1467451,0e02db2980dc4e76ef7949ba4ec131af9fc4a44d,18,2/2,"nova/virt/hyperv/vmutils.py
nova/virt/hyperv/vmutilsv2.py",,"nova/virt/hyperv/vmutils.py
nova/virt/hyperv/vmutilsv2.py",789,296,peripheral,0.1111111111111111,0.0728110599078341,0.07640232108317214
NOVA 1467451 - CG,c6088d94bfd11114c94b2bdf7bd51cb4b1989720,1,0/0,0,,,1,1,core,,,
NOVA 1475356,0eb7e35fbfe5de5f9f00ff1a0cce1d6a61f3a902,5,1/1,nova/objects/base.py,,nova/objects/base.py,64,3,core,0.2,0.43283582089552236,0.048252911813643926
NOVA 1475356 - CG,c1dae06f1e366e7681fbffc776153b3ed3af2618,1,0/0,0,,,3,1,peripheral,,,
NOVA 1475911,e310985b77d916b1ad7f9ec60a9a0b46364046ac,4,1/1,nova/cmd/idmapshift.py,,nova/cmd/idmapshift.py,860,0,core,0.25,0.26046511627906976,0.9955555555555555
NOVA 1475911 - CG,b826fba1cd61f7ddbee091c220eaef7ea5317c1b,1,0/0,0,,,140,0,peripheral,,,
NOVA 1481078,31f208423405ed50bb5b32977071f917ac3ce26d,3,1/1,nova/virt/xenapi/vmops.py,,nova/virt/xenapi/vmops.py,51,21,peripheral,0.3333333333333333,0.4444444444444444,0.013876843018213356
NOVA 1481078 - CG,05120edf92627ff7ad20a928f8b94568031556c9,3,0/0,0,,,1,24,core,,,
NOVA 1486541,f5071bd1ac00ed68102d37c8025d36df6777cd9e,7,0/1,0,nova/compute/cells_api.py,nova/compute/cells_api.py,116,75,core,0.0,0.0,0.0
NOVA 1486541 - CG,1d551dc96658ade41c8e9fabc6d9b41a28d5ed15,1,0/0,0,,,7,4,core,,,
NOVA 1505471,64e167eb62bd3483b2947ec8de218453c116bd93,16,1/1,nova/servicegroup/db_driver.py,,nova/servicegroup/drivers/db.py,450,173,core,0.0625,0.1637239165329053,0.9902912621359223
NOVA 1505471 - CG,ac658aa7d0671fb9b5a0a2c504f4b73dff514da9,2,0/0,0,,,9,8,core,,,
